1,東北楽天ゴールデンイーグルスが初のリーグ優勝＆日本一になったのは何年？,2013,2011,2012,2013,2014
2,野球で１試合に1人でヒット、２塁打、３塁打、HR全て打つことを何と言う？,サイクルヒット,グランドスラム,サイクルヒット,タイムリー,クリーンアップ
3,パ・リーグの「パ」は何の略？,パシフィック,パシフィック ,パントラル,パッション,パラダイス
4,2019年に広島に移籍した長野久義選手の背番号は何番？,5番,1番,3番,5番,7番
5,2020年の日本シリーズでMVPになった選手は？,栗原陵矢選手,柳田悠岐選手,千賀滉大投手,栗原陵矢選手,甲斐拓也捕手
6,この中で仲間外れは誰？,田中俊太選手,大田泰示選手,宇佐美慎吾選手,公文克彦投手,田中俊太選手
7,この中で2018年ドラフト選出ではない選手は？,高橋礼投手,高橋礼投手,甲斐野央投手,杉山一樹投手,泉圭輔投手
8,大谷翔平のメジャー所属チームは？,エンゼルス(LAA),レッドソックス(BOS),エンゼルス(LAA),ヤンキース(NYY),マリナーズ(SEA)
9,2019年発表のHRが出やすい球場ランキング第1位の球場は？,東京ドーム,福岡PayPayドーム,東京ドーム,甲子園球場,横浜スタジアム
10,2016年トリプルスリー達成者は？,山田哲人選手,山田哲人選手,柳田悠岐選手,坂本勇人選手,西川遥輝選手
